PLAYER_ID,Name,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1641810,Antonio Reeves,2024-25,1610612740,NOP,22.0,38,459.11833333333334,76,163,0.466,36,86,0.419,12,15,0.8,14,29,43,28,13,3,22,25,200
1630574,Ariel Hukporti,2024-25,1610612752,NYK,22.0,25,217.365,21,31,0.677,0,0,0.0,6,13,0.462,14,37,51,11,1,15,21,32,48
1642422,Armel Traoré,2024-25,1610612747,LAL,22.0,9,66.66666666666667,6,19,0.316,0,7,0.0,2,7,0.286,2,13,15,1,4,2,3,6,14
1641709,Ausar Thompson,2024-25,1610612765,DET,22.0,54,1187.505,222,413,0.538,10,45,0.222,78,125,0.624,103,167,270,118,91,34,79,153,532
1630559,Austin Reaves,2024-25,1610612747,LAL,26.0,68,2370.78,443,972,0.456,182,496,0.367,299,339,0.882,57,251,308,396,76,21,162,140,1367
1630245,Ayo Dosunmu,2024-25,1610612741,CHI,25.0,46,1393.8833333333334,221,449,0.492,62,189,0.328,62,79,0.785,26,135,161,208,43,18,69,105,566
1628389,Bam Adebayo,2024-25,1610612748,MIA,27.0,75,2574.2433333333333,515,1061,0.485,70,205,0.341,238,312,0.763,180,539,719,325,93,52,158,159,1338
1631248,Baylor Scheierman,2024-25,1610612738,BOS,24.0,26,279.755,26,70,0.371,20,56,0.357,6,8,0.75,13,32,45,24,11,2,5,15,78
1641767,Ben Sheppard,2024-25,1610612754,IND,23.0,63,1229.5583333333334,120,287,0.418,68,199,0.342,24,27,0.889,44,133,177,85,38,14,22,125,332
1627732,Ben Simmons,2024-25,1610612746,LAC,28.0,47,1069.2633333333333,115,219,0.525,0,0,0.0,24,33,0.727,43,188,231,277,38,22,99,99,254
1631097,Bennedict Mathurin,2024-25,1610612754,IND,22.0,68,2036.6183333333333,375,807,0.465,95,274,0.347,257,308,0.834,81,282,363,126,43,24,128,154,1102
1641731,Bilal Coulibaly,2024-25,1610612764,WAS,20.0,59,1947.5066666666667,263,624,0.421,63,224,0.281,138,185,0.746,91,203,294,199,78,41,125,139,727
202687,Bismack Biyombo,2024-25,1610612759,SAS,32.0,22,413.50333333333333,52,81,0.642,0,0,0.0,10,24,0.417,31,85,116,27,14,19,18,41,114
1631104,Blake Wesley,2024-25,1610612759,SAS,22.0,52,565.69,70,153,0.458,17,50,0.34,31,50,0.62,14,36,50,96,30,4,47,36,188
1626171,Bobby Portis,2024-25,1610612749,MIL,30.0,46,1160.1133333333332,258,557,0.463,60,165,0.364,55,67,0.821,83,300,383,102,31,25,56,87,631
1641752,Bobi Klintman,2024-25,1610612765,DET,22.0,7,19.466666666666665,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,1,0,1,1,2,0
203992,Bogdan Bogdanović,2024-25,1610612746,LAC,32.0,48,1212.4066666666668,188,444,0.423,93,265,0.351,53,60,0.883,20,123,143,126,37,11,70,110,522
1629626,Bol Bol,2024-25,1610612756,PHX,25.0,34,442.03333333333336,96,183,0.525,32,93,0.344,20,26,0.769,19,84,103,21,9,25,20,20,244
1630538,Bones Hyland,2024-25,1610612750,MIN,24.0,24,238.77,47,118,0.398,32,82,0.39,23,26,0.885,5,20,25,32,18,4,25,29,149
203078,Bradley Beal,2024-25,1610612756,PHX,31.0,48,1544.6366666666668,318,630,0.505,92,233,0.395,104,128,0.813,33,131,164,174,49,25,92,123,832
1642382,Branden Carlson,2024-25,1610612760,OKC,25.0,27,176.57666666666665,28,65,0.431,19,50,0.38,9,13,0.692,11,30,41,10,5,15,4,18,84
1641764,Brandin Podziemski,2024-25,1610612744,GSW,22.0,58,1521.9416666666666,242,554,0.437,98,271,0.362,62,83,0.747,61,228,289,195,61,12,62,86,644
1630527,Brandon Boston,2024-25,1610612740,NOP,23.0,42,992.78,166,381,0.436,49,140,0.35,67,85,0.788,28,106,134,92,53,9,52,73,448
